# Review progress
S003 | pytest | src/database.py | lazy engine init | done | pass
S004 | security | src/database.py | LIKE pattern injection | done | pass
S005 | correctness | routes/evaluation.py | broken re.sub() save_template | done | pass
S006 | pytest | tests/test_smoke.py | importlib.reload mutates global module state | done | pass
S007 | security | routes/evaluation.py | path traversal in download_report() | done | pass
S008 | correctness | src/multi_target_scheduler.py | nested session + deprecated .get() API | done | pass
S009 | correctness | src/database.py (and others) | deprecated .get() API in multiple files | done | pass
S010 | error_handling | src/service.py | bare except swallows exceptions in _run_evaluation_task | done | pass
S011 | correctness | src/prompt_helpers.py, src/api_clients.py | inline import re moved to module level | done | pass
S012 | correctness | src/api_clients.py, src/prompt_helpers.py | inline import re removed (duplicate of S011) | done | pass
S013 | error_handling | src/api_clients.py | silent exception swallowing in fetch_abstracts_for_structures() | done | pass
S015 | correctness | routes/multi_target_v2.py, src/multi_target_scheduler.py | global _scheduler race condition | done | pass
S016 | correctness | app.py | redundant inner import config in get_config() | done | pass
S017 | correctness | src/cache_service.py | __del__ destructor unreliable cleanup | done | pass
S018 | security | config.py | SECRET_KEY FLASK_ENV production enforcement | done | pass
S019 | correctness | src/database.py | _run_migrations() uncaught exceptions + no tracking table | done | pass
S020 | pytest | tests/conftest.py | os.environ.clear() strips system env vars | done | pass
S021 | correctness | routes/evaluation.py | N+1 query in generate_multi_target_report_endpoint() | done | pass
S022 | correctness | src/ai_client_wrapper.py | ambiguous config precedence (or vs is None) | done | pass
